"Time (s)","Sound pressure level (dB)"
0.000000000E0,5.360680068E1
1.414775416E-1,5.983057538E1
2.505728750E-1,5.683799160E1
3.560363750E-1,5.694757124E1
4.593109167E-1,5.763171655E1
5.631986667E-1,5.736498502E1
6.667901250E-1,5.951812482E1
7.727092084E-1,5.798284131E1
8.759645417E-1,5.701658600E1
9.803675000E-1,5.695424861E1
1.083967250E0,5.869339706E1
1.190660958E0,5.896471506E1
1.292419208E0,5.817452482E1
1.397541542E0,5.872097020E1
1.503850208E0,6.037063865E1
1.607388542E0,6.137111834E1
1.709113250E0,5.947638978E1
1.814915625E0,6.159548715E1
1.918467083E0,7.919456094E1
2.024686542E0,6.263755312E1
2.131185583E0,6.345619733E1
2.235559750E0,5.912936055E1
2.341338833E0,5.959935608E1
2.447756583E0,6.017087264E1
2.552640917E0,5.977129665E1
2.657977208E0,5.892011571E1
2.764527250E0,5.765845563E1
2.869775083E0,5.920765196E1
2.974685542E0,5.991935686E1
3.081193750E0,6.153704111E1
3.186864958E0,5.963216179E1
3.291352167E0,5.871386184E1
3.397779083E0,5.900026422E1
3.504034125E0,6.065309030E1
3.608018250E0,6.098578402E1
3.714522708E0,6.064589518E1
3.817592333E0,6.140292079E1
3.921288167E0,6.089562799E1
4.024643000E0,6.014354345E1
4.129508208E0,5.868125509E1
4.235033542E0,5.800053433E1
4.340423917E0,5.933547105E1
4.447058000E0,5.792061924E1
4.552135417E0,5.764447259E1
4.657591167E0,5.984165544E1
4.764245667E0,5.984820908E1
4.869311417E0,5.864610617E1
4.974740208E0,5.799529181E1
5.076915792E0,5.809939710E1
5.183377708E0,5.885825337E1
5.286476292E0,6.075203222E1
5.391458750E0,6.106014324E1
5.494484542E0,6.074653597E1
5.601126958E0,6.005824118E1
5.703794500E0,6.052223651E1
5.807998542E0,6.026610518E1
5.911232542E0,5.831328206E1
6.018001125E0,5.979801009E1
6.121069542E0,5.983386982E1
6.224673417E0,5.978931042E1
6.327812083E0,5.896773760E1
6.434758167E0,5.866165544E1
6.538151667E0,5.714805706E1
6.641301125E0,5.932852367E1
6.744609042E0,5.953681893E1
6.850615667E0,5.875381790E1
6.955403500E0,6.041169064E1
7.061794083E0,6.132335191E1
7.168664083E0,6.104994155E1
7.272470583E0,5.807996318E1
7.377812042E0,5.719284940E1
